add,bath,bed,car,desc,features,headline,id,lat,lon,photo,postcode,price,street,suburb,type,url,url2,date,min_price,max_price
Parramatta,2.0,2.0,1.0,"<b></b><br />Property1Group is proud to present this elegantly designed with an abundance of natural light welcoming two bedroom apartments, in prime location.
The apartments have been designed both for people with a busy lifestyle and those wishing to...","['AirConditioning', 'BuiltInWardrobes', 'Gas', 'SecureParking', 'AlarmSystem', 'Intercom', 'Dishwasher']","--2 Mins walk to Parramatta Station
--Ready to move in 2 months",2017126367.0,-33.8135567,151.0034,https://bucket-api.domain.com.au/v1/bucket/image/2017126367_1_1_210710_060227-w565-h637,2150,Contact Agent,,PARRAMATTA,NewApartments,https://www.domain.com.au/parramatta-2150-2017126367,https://www.domain.com.au/parramatta-nsw-2150-2017126367,2021-07-10,,
"1604A/8 Cowper Street, Parramatta",2.0,2.0,2.0,"<b></b><br />Inspections by appointment only. Please contact our friendly sales team to book a suitable time. Strictly 1 person at a time and please wear your mask.

Situated on levels 16 & 17 of the landmark building 'Gallery By Crown', this sophist...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'SwimmingPool', 'Study']",LUXURIOUS 187m2 DUAL-LEVEL PENTHOUSE IN PARRAMATTA CBD,2017123205.0,-33.821228,151.007019,https://bucket-api.domain.com.au/v1/bucket/image/2017123205_1_1_210708_081737-w1920-h1280,2150,JUST LISTED,Cowper Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/1604a-8-cowper-street--parramatta-2150-2017123205,https://www.domain.com.au/1604a-8-cowper-street-parramatta-nsw-2150-2017123205,2021-07-10,,
"260/109-111 George Street, Parramatta",2.0,2.0,1.0,"<b></b><br />Contemporary living at Koi Parramatta. Perfectly positioned on Level 17 this gorgeous two bedroom dual key apartment offers luxurious cosmopolitan living in the heart of the thriving Parramatta CBD. Boasting two spacious bedrooms, dual bal...","['AirConditioning', 'Intercom']",Dual Key Apartment In The Heart Of The Parramatta CBD,2017122247.0,-33.81562,151.010178,https://bucket-api.domain.com.au/v1/bucket/image/2017122247_1_1_210708_044936-w1800-h1200,2150,Just Listed,George Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/260-109-111-george-street--parramatta-2150-2017122247,https://www.domain.com.au/260-109-111-george-street-parramatta-nsw-2150-2017122247,2021-07-10,,
"1805/12-14 Phillip Street, Parramatta",2.0,2.0,1.0,"<b></b><br />Brand new 2 bedroom luxurious apartment situated in the heart of Parramatta. Offering a lifestyle of convenience, 'The Lennox' residences are within close proximity to world class dining precincts, transport hubs, shopping centre and the b...","['Floorboards', 'Gas', 'SwimmingPool', 'Gym', 'Intercom']",Luxurious Riverside Apartment,2017112687.0,-33.81135,151.00351,https://bucket-api.domain.com.au/v1/bucket/image/2017112687_1_1_210705_015131-w1512-h704,2150,Contact Agent,Phillip Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/1805-12-14-phillip-street--parramatta-2150-2017112687,https://www.domain.com.au/1805-12-14-phillip-street-parramatta-nsw-2150-2017112687,2021-07-10,,
"100/109-113 George Street, Parramatta",2.0,2.0,1.0,"<b></b><br />Covid-19 Safety Plan:
We are following the guidelines from NSW Health Department.
-	We required to keep records of those attending in case contact and tracing is needed.
-	Those with symptoms of illness will not allowed to attend inspec...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'PetsAllowed', 'SecureParking', 'Furnished', 'Gym', 'Intercom', 'BroadbandInternetAccess', 'Bath', 'Dishwasher', 'BalconyDeck']",Spacious with district view apartment,2017115598.0,-33.8156128,151.010117,https://bucket-api.domain.com.au/v1/bucket/image/2017115598_1_1_210706_023507-w1336-h2000,2150,"$620,000 to $650,000 Motivated Vendor",George Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/100-109-113-george-street--parramatta-2150-2017115598,https://www.domain.com.au/100-109-113-george-street-parramatta-nsw-2150-2017115598,2021-07-10,620000.0,650000.0
Parramatta,2.0,2.0,,"<b></b><br />The 2nd CBD of Sydney now presents a landmark development. Come and stake your claim.  
Walking distance to Westfield Shopping Centre, Parramatta Park and Reputed Schools. 
Parramatta is getting benefitted with the Light Rail and this will...","['AirConditioning', 'BuiltInWardrobes', 'Gas', 'SwimmingPool', 'AlarmSystem', 'Intercom']",MODERN APARTMENT IN A SOUGHT-AFTER ICONIC DEVELOPMENT. CALL NOW TO INSPECT THE DISPLAY AND PICK YOUR CHOICE BEFORE INVENTORY RUNS OUT.,2017104324.0,-33.8135567,151.0034,https://bucket-api.domain.com.au/v1/bucket/image/2017104324_1_1_210630_040057-w900-h638,2150,"From $767,000 Onwards",,PARRAMATTA,NewApartments,https://www.domain.com.au/parramatta-2150-2017104324,https://www.domain.com.au/parramatta-nsw-2150-2017104324,2021-07-10,767000.0,767000.0
"4/12 Pemberton Street, Parramatta",2.0,4.0,2,"<b></b><br />Never to be built out & adjoining Baludarri Reserve, this solid dual level double brick 4 bedroom town home offers the ideal lifestyle location & in a sought after riverbank locale. Situated in a boutique complex of only 4 & within an easy...","['AirConditioning', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'Bath', 'Dishwasher']",Parkland position & double brick construction,2017100551.0,-33.81354,151.0199,https://bucket-api.domain.com.au/v1/bucket/image/2017100551_1_1_210628_113949-w1920-h1280,2150,Auction,Pemberton Street,PARRAMATTA,Townhouse,https://www.domain.com.au/4-12-pemberton-street--parramatta-2150-2017100551,https://www.domain.com.au/4-12-pemberton-street-parramatta-nsw-2150-2017100551,2021-07-10,,
"806/25-29 Cowper Street, Parramatta",2.0,3.0,2,"<b></b><br />This spacious 3 Beds 2baths apartment situated on level 8 of a modern security building ,this ultra sleek 3 bedroom apartment boasts stunning interiors with a smart floor plan and cross ventilation.Positioned in the heart of the parramatta...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'Intercom', 'Bath', 'Dishwasher']",UNDER OFFER,2017094714.0,-33.82058,151.006348,https://bucket-api.domain.com.au/v1/bucket/image/2017094714_1_1_210624_115029-w1200-h800,2150,$799000.00,Cowper Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/806-25-29-cowper-street--parramatta-2150-2017094714,https://www.domain.com.au/806-25-29-cowper-street-parramatta-nsw-2150-2017094714,2021-07-10,,
"B304/9 Hassall Street, Parramatta",2.0,3.0,1,"<b></b><br />The vibrant heart of Parramatta: a premium apartment in a superb location
In the heart of Parramatta, the Imperial is just minutes walk from the Parramatta Train Station, Westfield Shopping Centre, the $2.7 billion Parramatta Square devel...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'SecureParking', 'AlarmSystem', 'Intercom', 'BroadbandInternetAccess', 'Dishwasher', 'BalconyDeck']",Newly established! Amenities at every turn!,2017093264.0,-33.8182755,151.008041,https://bucket-api.domain.com.au/v1/bucket/image/2017093264_1_1_210624_041738-w1200-h800,2150,"$925,000",Hassall Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/b304-9-hassall-street--parramatta-2150-2017093264,https://www.domain.com.au/b304-9-hassall-street-parramatta-nsw-2150-2017093264,2021-07-10,925000.0,925000.0
"B301/9 Hassall st, Parramatta",2.0,2.0,1,"<b></b><br />In the heart of Parramatta, the Imperial is just minutes walk from the Parramatta Train Station, Westfield Shopping Centre, the $2.7 billion Parramatta Square development, and a plethora of essential facilities including schools, restauran...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'SecureParking', 'AlarmSystem', 'Intercom', 'Dishwasher', 'BalconyDeck']",Smart living in the heart of Parramatta,2017093042.0,-33.8182755,151.008041,https://bucket-api.domain.com.au/v1/bucket/image/2016436814_11_1_210111_021545-w1200-h800,2150,Contact agent,Hassall st,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/b301-9-hassall-st--parramatta-2150-2017093042,https://www.domain.com.au/b301-9-hassall-st-parramatta-nsw-2150-2017093042,2021-07-10,,
